P-1_PTrit	P-1_PTrit
P-3_MLP	P-3_MLP
P-4_MLP	P-4_MLP
P-7_MLP	P-7_MLP
P-8_MLP	P-8_MLP
P-8_MLP	P-9_MLP
P-8_MLP	P-5_MLP
P-8_MLP	P-10_MLP
P-1_DR	P-1_DR
UN-21284380_Dbo	UN-21284380_Dbo
UN-31201925_Aga	UN-31201925_Aga
UN-31201925_Aga	UN-31226952_Aga
UN-31201925_Aga	UN-31229997_Aga
UN-31221170_Aga	UN-31221170_Aga
UN-50746565_Gga	UN-50746565_Gga
UN-55247335_Aga	UN-55247335_Aga
UN-KBOC_DB_tp	UN-KBOC_DB_tp
UN-Lu-P1_tp	UN-Lu-P1_tp
UN-Lu-P2_tp	UN-Lu-P2_tp
UN-P_Dbi_tp	UN-P_Dbi_tp
UN-P_Dbi_tp	UN-28630152_Dvu
UN-P_Dme_tp	UN-P_Dme_tp
UN-P_Dme_tp	UN-P_Dan_tp
UN-P_Dme_tp	UN-P_Dma_tp
UN-P_Dme_tp	UN-P_Dsubsi_tp
UN-ProtoP_tp	UN-ProtoP_tp
UN-ProtoP_tp	P-1_DY
Galileo_DM	Galileo_DM
Galileo_DM	Galileo_DB
Galileo_DW	Galileo_DW
P1_Cis_tp	P1_Cis_tp
P2_AG_tp	P2_AG_tp
P4_AG_tp	P4_AG_tp
P4_AG_tp	UN-31194665_Aga
P4_AG_tp	UN-31196825_Aga
P4_AG_tp	UN-31211253_Aga
P4_AG_tp	UN-55243097_Aga
P4_AG_tp	P1_AG_tp
P4_AG_tp	P3_AG_tp
P-1_AAe_tp	P-1_AAe_tp
P-1_AP_tp	P-1_AP_tp
P-1_DRh	P-1_DRh
P-1_DRh	P-1_DBp
P-1_HM	P-1_HM
P-1_HM	P-7_HM
P-1_LHu	P-1_LHu
P-1_NV	P-1_NV
P-1_TV_tp	P-1_TV_tp
P-2_AP_tp	P-2_AP_tp
P-2_CR_tp	P-2_CR_tp
P-2_LG	P-2_LG
P-2_LMi	P-2_LMi
P-2_TV_tp	P-2_TV_tp
P-3_AP_tp	P-3_AP_tp
P-3_HM	P-3_HM
P-4_AP_tp	P-4_AP_tp
P-5_HM	P-5_HM
P-5_HM	P-19_HM
P-7_LSal	P-7_LSal
P-8_LSal	P-8_LSal
P-9_HM	P-9_HM
P-9_LSal	P-9_LSal
P-10_HM	P-10_HM
P-11_HM	P-11_HM
P-11_LSal	P-11_LSal
P-12_HM	P-12_HM
P-13_HM	P-13_HM
P-13_HM	P-26_HM
P-13_LSal	P-13_LSal
P-15_LSal	P-15_LSal
P-16_HM	P-16_HM
P-16_HM	P-4_HM
P-16_LSal	P-16_LSal
P-17_LSal	P-17_LSal
P-18_LSal	P-18_LSal
P-20_HM	P-20_HM
P-20_LSal	P-20_LSal
P-21_HM	P-21_HM
P-21_LSal	P-21_LSal
P-23_HM	P-23_HM
P-24_LSal	P-24_LSal
P-25_HM	P-25_HM
P-25_HM	P-6_HM
P-25_HM	P-22_HM
P-25_LSal	P-25_LSal
P-27_HM	P-27_HM
P-27_HM	P-14_HM
P-27_HM_p2	P-27_HM_p2
P-27_LSal	P-27_LSal
P-28_HM	P-28_HM
P-28_LSal	P-28_LSal
P-29_HM	P-29_HM
P-29_LSal	P-29_LSal
P-30_HM	P-30_HM
P-30_HM	P-2_HM
P-30_HM	P-34_HM
P-30_HM_p2	P-30_HM_p2
P-30_LSal	P-30_LSal
P-31_HM	P-31_HM
P-32_HM	P-32_HM
P-35_HM	P-35_HM
P-37_HMa_tp	P-37_HMa_tp
P-38_HMa	P-38_HMa
P-38_HMa	P-15_HM
P-38_HMa	P-36_HMa_tp
P-39_HMa	P-39_HMa
P-1_MLP	P-1_MLP
P-1_PSt	P-1_PSt
